category,name,price
Первые блюда,Холодный свекольник на кефире,135
Первые блюда,Щи из квашеной капусты с/с,85
Первые блюда,Суп картофельный с зелёным горошком,85
Вторые блюда,"Вареники с картофелем, запечённые с луком и грибами (горшочки)",275
Вторые блюда,Пельмени домашние с соусом (горшочки),275
Вторые блюда,Спагетти/соус сливочно-грибной,230
Вторые блюда,"Треска, запечённая с томатами и сыром Чеддер",245
Вторые блюда,Стрипсы куриные,190
Вторые блюда,Плов из индейки,250
Вторые блюда,Медальон из свинины с ветчиной и сыром,170
Вторые блюда,Буженина/соус-хрен,195
Вторые блюда,Гуляш из говядины,250
Вторые блюда,"Свинина запечённая ""По-французски""",250
"Блюда овощные, гарниры",Фасоль стручковая жареная с кунжутом,105
"Блюда овощные, гарниры",Перловка жареная с луком,60
"Блюда овощные, гарниры",Макароны отварные с маслом,70
"Блюда овощные, гарниры",Картофельное пюре,90
"Дополнительно, хлеб","Хлеб ""Ржаной""",5
"Дополнительно, хлеб",Топпинги десертные в (асс.),40
"Дополнительно, хлеб",Соусы в асс.,40
"Дополнительно, хлеб",Сметана порц.,30
